RPC,MrAnisotropy,CommonGround,Citation,Reference,Type,Description,Lithology,Colour,Age,Location,Basin,Depth,Latitude,Longitude,Epsilon,Gamma,Delta,Vp,Vs,Rho,Rho_dry,Rho_grain,E_static,PR_static,E_dynamic,PR_dynamic,P_conf,P_pore,Eff_stress,Ax_stress,Frequency,Fluid,Saturation,Sat_fraction,Porosity,Permeability,Temperature,Composition,Remarks,URL
100029,31,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Woodford Shale,SHALE,,Devonian,,,,,,0.300855,0.240293,0.5221,,,,,,,,,,34.49433283,,,,,,,,,,,,,
100030,33,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Unknown Shale (Table 2),SHALE,,,,,,,,0.32,0.308,0.248,,,,,,,,,,,,,,,,,,,,,,,
100031,36,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.121,0.138,0.046,3198.837042,1603.308439,2408,,,,,,,,,,,,brine,sat,,,,,,,
100032,37,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.092,0.132,0.036,3360.904932,1686.619163,2408,,,,,,,,,,,,brine,sat,,,,,,,
100033,38,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.081,0.115,0.03,3442.093372,1749.465942,2408,,,,,,,,,,,,brine,sat,,,,,,,
100034,39,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.317,0.513,-0.054,3117.888212,1531.561017,2511,,,,,,,,,,,,brine,sat,,,,,,,
100035,40,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.296,0.528,-0.04,3235.11219,1572.615147,2511,,,,,,,,,,,,brine,sat,,,,,,,
100036,41,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.284,0.51,-0.034,3314.162254,1620.016217,2511,,,,,,,,,,,,brine,sat,,,,,,,
100037,42,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.225,0.416,0.16,3274.796009,1655.625701,2499,,,,,,,,,,,,brine,sat,,,,,,,
100038,43,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.208,0.415,0.177,3379.433155,1698.574066,2499,,,,,,,,,,,,brine,sat,,,,,,,
100039,44,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.198,0.37,0.177,3446.266174,1770.099759,2499,,,,,,,,,,,,brine,sat,,,,,,,
100040,45,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.185,0.239,-0.03,3737.190008,2048.366308,2574,,,,,,,,,,,,brine,sat,,,,,,,
100041,46,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.174,0.236,-0.018,3853.373289,2131.095886,2574,,,,,,,,,,,,brine,sat,,,,,,,
100042,47,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.166,0.229,-0.007,3911.908865,2169.936657,2574,,,,,,,,,,,,brine,sat,,,,,,,
100043,48,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.326,0.553,0.229,3222.822905,1606.200934,2535,,,,,,,,,,,,brine,sat,,,,,,,
100044,49,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.306,0.524,0.235,3324.643374,1667.652607,2535,,,,,,,,,,,,brine,sat,,,,,,,
100045,50,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Africa,,,,,0.299,0.509,0.242,3374.109507,1699.286342,2535,,,,,,,,,,,,brine,sat,,,,,,,
100046,51,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,North Sea,,,,,0.195,0.152,-0.014,2290.840864,1340.965629,2319,,,,,,,,,,,,brine,sat,,,,,,,
100047,52,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,North Sea,,,,,0.189,0.149,-0.026,2357.632399,1375.884175,2319,,,,,,,,,,,,brine,sat,,,,,,,
100048,53,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,North Sea,,,,,0.184,0.145,-0.009,2409.196138,1402.271271,2319,,,,,,,,,,,,brine,sat,,,,,,,
100049,54,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,North Sea,,,,,0.179,0.144,0,2449.137688,1420.602441,2319,,,,,,,,,,,,brine,sat,,,,,,,
100050,55,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,North Sea,,,,,0.266,0.185,0.021,2402.738333,1447.172165,2354,,,,,,,,,,,,brine,sat,,,,,,,
100051,56,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,North Sea,,,,,0.258,0.189,0.032,2464.704037,1470.468283,2354,,,,,,,,,,,,brine,sat,,,,,,,
100052,57,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,North Sea,,,,,0.252,0.185,0.035,2509.11665,1487.700939,2354,,,,,,,,,,,,brine,sat,,,,,,,
100053,58,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,North Sea,,,,,0.25,0.193,0.037,2530.191422,1494.822502,2354,,,,,,,,,,,,brine,sat,,,,,,,
100054,59,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,North Sea,,,,,0.104,0.152,0.101,3080.177784,1347.708464,2439,,,,,,,,,,,,brine,sat,,,,,,,
100055,60,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,North Sea,,,,,0.105,0.135,0.102,3214.996576,1462.949514,2439,,,,,,,,,,,,brine,sat,,,,,,,
100056,61,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,North Sea,,,,,0.1,0.123,0.1,3287.508011,1523.35918,2439,,,,,,,,,,,,brine,sat,,,,,,,
100057,62,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,North Sea,,,,,0.097,0.113,0.096,3353.567123,1578.86827,2439,,,,,,,,,,,,brine,sat,,,,,,,
100058,63,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Gulf Coast,,,,,0.218,0.122,0.192,2740.856648,1378.999353,2440,,,,,,,,,,,,brine,sat,,,,,,,
100059,64,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Gulf Coast,,,,,0.215,0.124,0.196,2813.171625,1395.249486,2440,,,,,,,,,,,,brine,sat,,,,,,,
100060,65,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Gulf Coast,,,,,0.212,0.148,0.194,2867.997408,1409.859896,2440,,,,,,,,,,,,brine,sat,,,,,,,
100061,66,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Gulf Coast,,,,,0.203,0.175,0.201,2941.366911,1424.32034,2440,,,,,,,,,,,,brine,sat,,,,,,,
100062,67,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Shale,SHALE,,,Gulf Coast,,,,,0.202,0.2,0.198,3004.095554,1434.355974,2440,,,,,,,,,,,,brine,sat,,,,,,,
100063,68,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.252,0.187,0.035,3726.751328,2377.921343,2605,,,,,,,,,,,,brine,sat,,,,,,,
100064,69,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.24,0.181,0.023,3789.063931,2395.613432,2605,,,,,,,,,,,,brine,sat,,,,,,,
100065,70,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.23,0.177,0.015,3839.385748,2409.195423,2605,,,,,,,,,,,,brine,sat,,,,,,,
100066,71,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.218,0.172,0.008,3902.359009,2426.659346,2605,,,,,,,,,,,,brine,sat,,,,,,,
100067,72,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.173,0.05,0.026,3853.522778,2579.530478,2627,,,,,,,,,,,,brine,sat,,,,,,,
100068,73,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.15,0.036,0.015,3965.976238,2627.777576,2627,,,,,,,,,,,,brine,sat,,,,,,,
100069,74,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.131,0.028,0.004,4067.380428,2655.875206,2627,,,,,,,,,,,,brine,sat,,,,,,,
100070,75,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.105,0.025,0.004,4197.267056,2668.74361,2627,,,,,,,,,,,,brine,sat,,,,,,,
100071,76,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.252,0.136,0.126,3728.709459,2495.998383,2626,,,,,,,,,,,,brine,sat,,,,,,,
100072,77,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.245,0.132,0.118,3774.891853,2508.933067,2626,,,,,,,,,,,,brine,sat,,,,,,,
100073,78,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.238,0.129,0.103,3819.020748,2521.0464,2626,,,,,,,,,,,,brine,sat,,,,,,,
100074,79,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.229,0.126,0.092,3870.524645,2535.355568,2626,,,,,,,,,,,,brine,sat,,,,,,,
100075,80,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.297,0.182,0.116,3589.263439,2250.867844,2560,,,,,,,,,,,,brine,sat,,,,,,,
100076,81,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.265,0.18,0.099,3703.355789,2264.708996,2560,,,,,,,,,,,,brine,sat,,,,,,,
100077,82,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.24,0.177,0.095,3792.983055,2276.750803,2560,,,,,,,,,,,,brine,sat,,,,,,,
100078,83,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.217,0.175,0.106,3879.533529,2288.729191,2560,,,,,,,,,,,,brine,sat,,,,,,,
100079,84,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.145,0.071,-0.068,4173.278332,2638.537407,2597,,,,,,,,,,,,brine,sat,,,,,,,
100080,85,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.131,0.07,-0.063,4265.902042,2660.337687,2597,,,,,,,,,,,,brine,sat,,,,,,,
100081,86,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.121,0.069,-0.057,4333.960056,2675.492525,2597,,,,,,,,,,,,brine,sat,,,,,,,
100082,87,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Hard shale,SHALE,,,,,,,,0.11,0.068,-0.043,4408.833504,2687.697887,2597,,,,,,,,,,,,brine,sat,,,,,,,
100083,88,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Siliceous shale,SHALE,,,,,,,,0.061,0.045,0.019,2711.954832,1481.370807,1841,,,,,,,,,,,,brine,sat,,,,,,,
100084,89,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Siliceous shale,SHALE,,,,,,,,0.059,0.047,0.022,2725.939274,1488.686323,1841,,,,,,,,,,,,brine,sat,,,,,,,
100085,90,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Siliceous shale,SHALE,,,,,,,,0.057,0.048,0.025,2738.860846,1495.965958,1841,,,,,,,,,,,,brine,sat,,,,,,,
100086,91,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Siliceous shale,SHALE,,,,,,,,0.056,0.049,0.03,2747.770786,1501.402617,1841,,,,,,,,,,,,brine,sat,,,,,,,
100087,92,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Siliceous shale,SHALE,,,,,,,,0.022,0.012,-0.17,2993.065357,1636.550188,1949,,,,,,,,,,,,brine,sat,,,,,,,
100088,93,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Siliceous shale,SHALE,,,,,,,,0.018,0.01,-0.165,3017.819405,1652.151585,1949,,,,,,,,,,,,brine,sat,,,,,,,
100089,94,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Siliceous shale,SHALE,,,,,,,,0.015,0.009,-0.16,3037.308693,1661.442161,1949,,,,,,,,,,,,brine,sat,,,,,,,
100090,95,,"Wang, 2002","Wang, Z., 2002, Seismic anisotropy in sedimentary rocks Geophysics",Core,Siliceous shale,SHALE,,,,,,,,0.011,0.008,-0.158,3055.834293,1670.681,1949,,,,,,,,,,,,brine,sat,,,,,,,
100091,,,Rai and Frisillo 1982,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Taylor sandstone,SS,,,,,,,,0.11,0.255,-0.035,3368,1829,2500,,,,,,,,,0,,,,sat,,,,,,,
100092,98,,Kelly 1983,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Mesaverde mudshale,SHALE,,Late Cretaceous,,,1494.4344,,,0.034,0.046,0.211,4529,2703,2520,,,,,,,,,27.58,,,,sat,,,,,,,
100093,,,Kelly 1983,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Mesaverde immature sandstone,SS,,Late Cretaceous,,,1497.1776,,,0.097,0.051,0.091,4476,2814,2500,,,,,,,,,27.58,,,,sat,,,,,,,
100094,,,Kelly 1983,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Mesaverde immature sandstone,SS,,Late Cretaceous,,,1507.5408,,,0.077,0.066,0.01,4099,2346,2450,,,,,,,,,27.58,,,,sat,,,,,,,
100095,,,Kelly 1983,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Mesaverde silty limestone,LST,,Late Cretaceous,,,1667.1036,,,0.056,0.067,-0.003,4972,2899,2630,,,,,,,,,27.58,,,,sat,,,,,,,
100096,,,Kelly 1983,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Mesaverde immature sandstone,SS,,Late Cretaceous,,,1670.70024,,,0.091,0.105,0.148,4349,2571,2460,,,,,,,,,27.58,,,,sat,,,,,,,
100097,99,,Kelly 1983,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Mesaverde clayshale,SHALE,,Late Cretaceous,,,1676.7048,,,0.334,0.575,0.73,3928,2055,2590,,,,,,,,,27.58,,,,sat,,,,,,,
100098,,,Kelly 1983,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Mesaverde immature sandstone,SS,,Late Cretaceous,,,1693.22496,,,0.06,0.045,0.143,4539,2706,2480,,,,,,,,,27.58,,,,sat,,,,,,,
100099,100,,Kelly 1983,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Mesaverde laminated siltstone,SILT,,Late Cretaceous,,,1696.60824,,,0.091,0.046,0.565,4449,2585,2570,,,,,,,,,27.58,,,,sat,,,,,,,
100100,,,Kelly 1983,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Mesaverde immature sandstone,SS,,Late Cretaceous,,,1779.27,,,0.023,0.013,0.002,4672,2833,2470,,,,,,,,,27.58,,,,sat,,,,,,,
100101,101,,Kelly 1983,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Mesaverde clayshale,SHALE,,Late Cretaceous,,,1785.70128,,,0.189,0.175,0.204,3794,2074,2560,,,,,,,,,27.58,,,,sat,,,,,,,
100102,,,Kelly 1983,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Mesaverde calcareous sandstone,SS,,Late Cretaceous,,,1957.91328,,,0,-0.007,-0.264,5460,3219,2690,,,,,,,,,27.58,,,,sat,,,,,,,
100103,,,Kelly 1983,"see Thomsen, L., 1986, Weak elastic anisotropy: Geophysics, 51, no. 10, 1954-1966",Core,Mesaverde immature sandstone,SS,,Late Cretaceous,,,1967.51448,,,0.053,0.133,0.158,4418,2587,2450,,,,,,,,,27.58,,,,sat,,,,,,,
