Well Name,Depth,Formation,RelPos,Marine,GR,ILD,DeltaPHI,PHIND,PE,Facies
SHRIMPLIN,857.5548,A1 SH,0.043,1,73.68,3.3189,14.7,15.980,3.3,2
SHRIMPLIN,857.7072,A1 SH,0.021,1,71.05,3.4277,17.2,18.020,3.3,2
SHRIMPLIN,857.8596,A1 LM,1.000,2,57.02,4.2462,11.6,12.090,3.5,8
SHRIMPLIN,858.0120,A1 LM,0.981,2,43.29,5.0350,7.3,6.705,4.0,8
SHRIMPLIN,858.1644,A1 LM,0.963,2,36.06,5.7810,5.7,4.595,5.0,8
SHRIMPLIN,858.3168,A1 LM,0.944,2,46.00,6.6527,5.1,4.620,5.5,8
SHRIMPLIN,858.4692,A1 LM,0.926,2,60.30,8.2224,4.6,5.010,5.6,6
SHRIMPLIN,858.6216,A1 LM,0.907,2,75.22,9.9770,4.4,5.295,5.5,6
SHRIMPLIN,858.7740,A1 LM,0.889,2,87.19,11.0917,4.7,5.320,5.4,6
SHRIMPLIN,858.9264,A1 LM,0.870,2,86.86,11.5878,5.2,5.785,5.4,6
SHRIMPLIN,859.0788,A1 LM,0.852,2,88.00,11.2460,6.5,6.380,5.4,6
SHRIMPLIN,859.2312,A1 LM,0.833,2,75.47,10.4232,7.8,7.215,5.5,6
SHRIMPLIN,859.3836,A1 LM,0.796,2,59.36,9.3756,10.0,8.925,4.9,6
SHRIMPLIN,859.5360,A1 LM,0.778,2,55.57,8.9536,8.6,9.355,4.5,6
SHRIMPLIN,859.6884,A1 LM,0.759,2,46.96,8.3946,5.4,9.120,4.3,6
SHRIMPLIN,859.8408,A1 LM,0.741,2,43.67,7.5162,3.6,8.225,4.1,6
SHRIMPLIN,859.9932,A1 LM,0.722,2,55.23,6.6988,5.1,7.875,4.3,6
SHRIMPLIN,860.1456,A1 LM,0.704,2,61.24,5.9841,9.7,8.575,4.3,6
SHRIMPLIN,860.2980,A1 LM,0.685,2,54.46,5.3456,12.8,10.660,4.4,6
SHRIMPLIN,860.4504,A1 LM,0.667,2,43.23,5.0003,14.9,12.375,4.0,7
SHRIMPLIN,860.6028,A1 LM,0.648,2,44.59,4.8084,16.0,13.540,3.9,7
SHRIMPLIN,860.7552,A1 LM,0.630,2,47.48,4.7424,16.5,12.890,3.7,4
SHRIMPLIN,860.9076,A1 LM,0.611,2,61.10,4.6881,15.2,11.785,3.7,4
SHRIMPLIN,861.0600,A1 LM,0.574,2,64.82,4.7863,9.1,8.970,4.5,4
SHRIMPLIN,861.2124,A1 LM,0.556,2,55.77,5.1286,6.1,8.930,5.1,4
SHRIMPLIN,861.3648,A1 LM,0.537,2,62.22,5.5463,4.3,9.215,5.5,4
SHRIMPLIN,861.5172,A1 LM,0.519,2,55.06,6.1094,2.9,9.500,5.6,6
SHRIMPLIN,861.6696,A1 LM,0.500,2,71.02,6.9024,3.1,8.890,5.4,6
SHRIMPLIN,861.8220,A1 LM,0.481,2,91.37,7.6033,3.9,8.060,5.3,6
SHRIMPLIN,861.9744,A1 LM,0.463,2,115.42,8.1470,5.2,6.875,5.3,6
SHRIMPLIN,862.1268,A1 LM,0.444,2,115.70,8.7096,5.9,6.085,5.2,6
SHRIMPLIN,862.2792,A1 LM,0.426,2,107.11,9.3756,6.0,6.135,5.6,6
SHRIMPLIN,862.4316,A1 LM,0.407,2,93.82,10.1859,5.8,6.640,5.6,6
SHRIMPLIN,862.5840,A1 LM,0.370,2,61.63,11.5080,3.6,6.865,6.1,6
SHRIMPLIN,862.7364,A1 LM,0.352,2,45.98,11.9124,3.6,6.250,6.2,6
SHRIMPLIN,862.8888,A1 LM,0.333,2,32.76,11.7761,3.0,6.225,5.8,6
SHRIMPLIN,863.0412,A1 LM,0.315,2,37.82,11.4288,3.6,6.190,5.7,6
SHRIMPLIN,863.1936,A1 LM,0.296,2,40.73,10.9144,2.3,6.375,5.5,6
SHRIMPLIN,863.3460,A1 LM,0.278,2,33.42,10.1158,2.2,6.610,5.4,6
SHRIMPLIN,863.4984,A1 LM,0.259,2,32.08,9.2897,2.2,7.355,5.3,6
SHRIMPLIN,863.6508,A1 LM,0.241,2,33.82,8.7700,2.1,8.330,4.9,6
SHRIMPLIN,863.8032,A1 LM,0.222,2,45.57,8.3946,1.1,8.840,4.7,6
SHRIMPLIN,863.9556,A1 LM,0.204,2,53.95,7.9433,1.9,8.125,4.6,6
SHRIMPLIN,864.1080,A1 LM,0.185,2,59.42,7.4989,4.3,7.845,4.6,6
SHRIMPLIN,864.2604,A1 LM,0.167,2,68.43,7.1450,8.3,8.665,4.8,6
SHRIMPLIN,864.4128,A1 LM,0.148,2,75.88,7.0632,11.0,10.040,4.6,6
SHRIMPLIN,864.5652,A1 LM,0.130,2,77.75,7.3114,11.3,10.850,4.7,6
SHRIMPLIN,864.7176,A1 LM,0.111,2,80.93,8.0724,9.6,9.815,4.6,6
SHRIMPLIN,864.8700,A1 LM,0.093,2,72.92,8.5507,7.3,7.475,4.7,6
SHRIMPLIN,865.0224,A1 LM,0.074,2,65.59,8.3176,5.7,5.265,5.0,6
SHRIMPLIN,865.1748,A1 LM,0.056,2,64.71,7.6913,3.6,4.045,5.4,6
SHRIMPLIN,865.3272,A1 LM,0.037,2,60.79,6.7453,2.9,4.360,5.5,6
SHRIMPLIN,865.4796,A1 LM,0.019,2,78.55,5.6754,2.0,9.795,5.7,6
SHRIMPLIN,865.6320,B1 SH,1.000,1,107.77,5.1642,1.8,19.545,4.0,3
SHRIMPLIN,865.7844,B1 SH,0.974,1,110.87,4.8529,6.0,26.650,3.3,3
SHRIMPLIN,865.9368,B1 SH,0.949,1,106.33,4.6238,8.6,26.940,2.8,3
SHRIMPLIN,866.0892,B1 SH,0.923,1,87.85,4.3652,9.6,21.770,2.7,3
SHRIMPLIN,866.2416,B1 SH,0.897,1,80.96,3.9902,9.0,15.990,2.9,3
SHRIMPLIN,866.3940,B1 SH,0.872,1,66.94,3.6983,11.2,12.565,3.5,2
SHRIMPLIN,866.5464,B1 SH,0.846,1,61.48,3.6392,12.0,11.690,4.2,2
SHRIMPLIN,866.6988,B1 SH,0.821,1,58.26,3.6983,12.4,12.285,4.2,2
SHRIMPLIN,866.8512,B1 SH,0.795,1,51.31,3.8459,12.7,11.735,3.9,2
SHRIMPLIN,867.0036,B1 SH,0.769,1,67.92,3.8282,13.2,11.730,3.9,2
SHRIMPLIN,867.1560,B1 SH,0.744,1,67.77,3.6813,14.1,12.475,3.9,2
SHRIMPLIN,867.3084,B1 SH,0.718,1,67.73,3.4914,14.4,13.095,3.8,2
SHRIMPLIN,867.4608,B1 SH,0.692,1,68.85,3.2810,12.1,13.350,3.7,2
SHRIMPLIN,867.6132,B1 SH,0.667,1,73.20,3.1333,9.7,15.120,3.6,2
SHRIMPLIN,867.7656,B1 SH,0.641,1,84.46,3.0620,6.1,20.480,3.6,3
SHRIMPLIN,867.9180,B1 SH,0.615,1,96.96,3.0409,7.0,23.225,3.4,3
SHRIMPLIN,868.0704,B1 SH,0.590,1,95.54,3.0620,9.4,21.305,3.5,3
SHRIMPLIN,868.2228,B1 SH,0.564,1,88.67,3.1117,13.2,17.235,3.4,3
SHRIMPLIN,868.3752,B1 SH,0.538,1,88.54,3.1696,13.1,16.710,3.5,3
SHRIMPLIN,868.5276,B1 SH,0.513,1,92.22,3.1696,11.2,18.675,3.5,3
SHRIMPLIN,868.6800,B1 SH,0.487,1,89.67,3.0974,4.9,20.405,3.3,2
SHRIMPLIN,868.8324,B1 SH,0.462,1,91.17,2.9512,2.2,20.300,3.1,2
SHRIMPLIN,868.9848,B1 SH,0.436,1,83.62,2.7227,5.1,17.160,2.8,2
SHRIMPLIN,869.1372,B1 SH,0.410,1,85.00,2.5177,8.3,15.870,2.8,2
SHRIMPLIN,869.2896,B1 SH,0.385,1,77.70,2.3496,7.5,16.850,2.9,2
SHRIMPLIN,869.4420,B1 SH,0.359,1,74.29,2.1577,6.1,17.300,2.9,2
SHRIMPLIN,869.5944,B1 SH,0.333,1,70.21,2.0277,5.4,17.570,2.9,2
SHRIMPLIN,869.7468,B1 SH,0.308,1,76.38,1.9815,4.7,17.195,3.0,2
SHRIMPLIN,869.8992,B1 SH,0.282,1,76.28,1.9999,4.4,16.415,3.0,2
SHRIMPLIN,870.0516,B1 SH,0.256,1,69.04,2.0606,4.1,14.190,3.2,2
SHRIMPLIN,870.2040,B1 SH,0.231,1,78.11,2.1777,5.8,13.250,3.4,2
SHRIMPLIN,870.3564,B1 SH,0.205,1,84.18,2.3823,6.8,15.720,3.8,3
SHRIMPLIN,870.5088,B1 SH,0.179,1,85.85,2.6792,6.6,20.045,3.5,3
SHRIMPLIN,870.6612,B1 SH,0.154,1,89.60,2.9512,4.4,20.455,3.3,3
SHRIMPLIN,870.8136,B1 SH,0.128,1,80.61,3.2285,3.6,16.780,3.1,3
SHRIMPLIN,870.9660,B1 SH,0.103,1,79.36,3.4594,7.5,11.780,3.3,3
SHRIMPLIN,871.1184,B1 SH,0.077,1,83.05,3.5318,8.1,14.545,3.7,3
SHRIMPLIN,871.2708,B1 SH,0.051,1,95.00,3.5975,9.2,23.830,3.6,3
SHRIMPLIN,871.4232,B1 LM,1.000,2,85.04,4.2560,6.4,26.670,3.1,5
SHRIMPLIN,871.5756,B1 LM,0.944,2,46.18,4.6559,4.3,16.610,3.1,5
SHRIMPLIN,871.7280,B1 LM,0.889,2,34.53,5.0466,4.9,8.220,3.5,5
SHRIMPLIN,871.8804,B1 LM,0.833,2,35.19,5.5463,7.9,4.710,4.6,5
SHRIMPLIN,872.0328,B1 LM,0.778,2,27.85,6.3533,7.8,4.240,4.8,8
SHRIMPLIN,872.1852,B1 LM,0.722,2,23.48,8.1846,6.0,4.220,4.7,8
SHRIMPLIN,872.3376,B1 LM,0.667,2,20.42,10.7399,5.0,3.785,4.6,8
SHRIMPLIN,872.4900,B1 LM,0.611,2,20.55,14.0281,4.1,3.145,5.1,8
SHRIMPLIN,872.6424,B1 LM,0.556,2,19.99,19.5884,4.7,2.195,5.4,8
SHRIMPLIN,872.7948,B1 LM,0.500,2,21.18,25.4097,5.2,1.590,5.9,8
SHRIMPLIN,872.9472,B1 LM,0.444,2,18.63,28.3139,4.7,1.755,6.1,8
SHRIMPLIN,873.0996,B1 LM,0.389,2,29.41,29.1743,4.2,2.360,6.0,6
SHRIMPLIN,873.2520,B1 LM,0.333,2,43.09,30.1995,3.1,3.110,5.8,6
SHRIMPLIN,873.4044,B1 LM,0.278,2,48.95,30.1301,4.2,2.950,5.6,6
SHRIMPLIN,873.5568,B1 LM,0.222,2,45.84,27.3527,4.1,3.030,5.6,6
SHRIMPLIN,873.7092,B1 LM,0.167,2,45.04,22.9087,4.2,3.020,5.7,6
SHRIMPLIN,873.8616,B1 LM,0.111,2,42.92,17.7419,3.6,3.445,5.7,6
SHRIMPLIN,874.0140,B1 LM,0.056,2,53.11,12.7057,3.3,4.095,5.9,6
SHRIMPLIN,874.1664,B2 SH,1.000,1,67.55,9.2470,4.2,5.130,5.1,3
SHRIMPLIN,874.3188,B2 SH,0.964,1,73.99,7.2778,6.1,7.840,4.6,3
SHRIMPLIN,874.4712,B2 SH,0.929,1,83.09,6.3973,9.4,11.200,3.9,3
SHRIMPLIN,874.6236,B2 SH,0.893,1,97.28,5.7943,10.5,13.970,3.6,3
SHRIMPLIN,874.7760,B2 SH,0.857,1,95.16,5.1761,9.6,12.960,3.4,2
SHRIMPLIN,874.9284,B2 SH,0.821,1,79.88,4.5814,8.6,10.425,3.3,2
SHRIMPLIN,875.0808,B2 SH,0.786,1,76.38,3.9994,8.9,8.785,3.5,2
SHRIMPLIN,875.2332,B2 SH,0.750,1,75.68,3.6392,11.4,10.305,3.6,2
SHRIMPLIN,875.3856,B2 SH,0.714,1,84.59,3.4435,13.4,13.745,3.9,2
SHRIMPLIN,875.5380,B2 SH,0.679,1,103.43,3.3497,14.6,16.660,3.9,3
SHRIMPLIN,875.6904,B2 SH,0.643,1,103.41,3.3266,14.7,17.625,3.9,3
SHRIMPLIN,875.8428,B2 SH,0.607,1,99.27,3.3113,13.0,16.245,3.8,3
SHRIMPLIN,875.9952,B2 SH,0.571,1,92.94,3.2810,12.1,14.850,3.7,3
SHRIMPLIN,876.1476,B2 SH,0.536,1,92.90,3.2137,11.4,13.270,3.8,3
SHRIMPLIN,876.3000,B2 SH,0.500,1,80.32,3.1915,11.0,12.480,3.7,3
SHRIMPLIN,876.4524,B2 SH,0.464,1,83.63,3.2509,10.1,11.525,4.0,2
SHRIMPLIN,876.6048,B2 SH,0.429,1,67.81,3.3806,9.4,11.310,4.1,2
SHRIMPLIN,876.7572,B2 SH,0.393,1,67.88,3.6224,9.7,10.865,4.3,2
SHRIMPLIN,876.9096,B2 SH,0.357,1,64.39,3.8815,8.4,10.365,4.4,2
SHRIMPLIN,877.0620,B2 SH,0.321,1,61.99,4.0179,6.9,9.385,4.4,2
SHRIMPLIN,877.2144,B2 SH,0.286,1,62.50,4.0179,5.5,8.530,4.3,2
SHRIMPLIN,877.3668,B2 SH,0.250,1,58.64,3.8019,5.3,8.600,4.2,2
SHRIMPLIN,877.5192,B2 SH,0.214,1,64.04,3.4914,5.7,9.980,4.0,2
SHRIMPLIN,877.6716,B2 SH,0.179,1,78.80,3.3037,5.4,13.745,3.7,2
SHRIMPLIN,877.8240,B2 SH,0.143,1,78.88,3.1769,2.0,21.885,3.7,3
SHRIMPLIN,877.9764,B2 SH,0.107,1,86.88,3.1623,-3.8,33.790,3.2,3
SHRIMPLIN,878.1288,B2 SH,0.071,1,83.97,3.3037,-2.0,37.470,3.0,3
SHRIMPLIN,878.2812,B2 SH,0.036,1,70.01,3.4914,-4.3,31.570,2.8,3
SHRIMPLIN,878.4336,B2 LM,1.000,2,50.70,3.6898,1.6,16.040,2.9,7
SHRIMPLIN,878.5860,B2 LM,0.938,2,30.81,3.9902,1.9,5.725,3.6,7
SHRIMPLIN,878.7384,B2 LM,0.875,2,17.35,4.5290,4.2,2.730,5.0,7
SHRIMPLIN,878.8908,B2 LM,0.813,2,17.55,5.5847,4.7,2.925,5.8,8
SHRIMPLIN,879.0432,B2 LM,0.750,2,18.19,7.1614,5.6,3.285,6.2,8
SHRIMPLIN,879.1956,B2 LM,0.688,2,17.08,9.5940,5.4,3.990,6.3,8
SHRIMPLIN,879.3480,B2 LM,0.625,2,15.88,12.7938,5.5,4.340,6.2,8
SHRIMPLIN,879.5004,B2 LM,0.563,2,20.38,14.7911,5.0,4.645,5.9,8
SHRIMPLIN,879.6528,B2 LM,0.500,2,24.93,14.8936,5.1,4.770,5.8,8
SHRIMPLIN,879.8052,B2 LM,0.438,2,28.57,14.1254,4.5,4.725,5.8,8
SHRIMPLIN,879.9576,B2 LM,0.375,2,34.54,13.0317,5.0,4.365,5.7,8
SHRIMPLIN,880.1100,B2 LM,0.313,2,42.34,11.5878,5.3,4.400,5.7,8
SHRIMPLIN,880.2624,B2 LM,0.250,2,44.21,10.1859,5.5,4.860,5.5,8
SHRIMPLIN,880.4148,B2 LM,0.188,2,44.15,8.7700,4.1,5.470,5.6,6
SHRIMPLIN,880.5672,B2 LM,0.125,2,39.25,7.5858,3.9,5.905,5.6,6
SHRIMPLIN,880.7196,B2 LM,0.063,2,38.37,6.4863,5.7,7.130,5.4,6
SHRIMPLIN,880.8720,B3 SH,1.000,1,60.63,5.4954,9.1,9.330,4.7,2
SHRIMPLIN,881.0244,B3 SH,0.967,1,83.69,4.8306,12.4,11.310,4.0,2
SHRIMPLIN,881.1768,B3 SH,0.933,1,87.30,4.4463,13.7,11.975,3.6,2
SHRIMPLIN,881.3292,B3 SH,0.900,1,89.07,4.1591,13.7,12.065,3.6,2
SHRIMPLIN,881.4816,B3 SH,0.867,1,91.06,3.8371,12.9,12.210,3.7,2
SHRIMPLIN,881.6340,B3 SH,0.833,1,98.37,3.6224,12.0,12.485,3.7,2
SHRIMPLIN,881.7864,B3 SH,0.800,1,87.10,3.5318,11.3,12.230,3.7,2
SHRIMPLIN,881.9388,B3 SH,0.767,1,83.81,3.4834,10.9,11.670,3.5,2
SHRIMPLIN,882.0912,B3 SH,0.733,1,83.11,3.4277,10.4,11.960,3.4,2
SHRIMPLIN,882.2436,B3 SH,0.700,1,85.40,3.3806,11.1,13.050,3.3,2
SHRIMPLIN,882.3960,B3 SH,0.667,1,86.83,3.3420,11.5,13.735,3.3,2
SHRIMPLIN,882.5484,B3 SH,0.633,1,80.54,3.2734,11.2,13.600,3.3,2
SHRIMPLIN,882.7008,B3 SH,0.600,1,77.67,3.1696,10.3,12.905,3.2,2
SHRIMPLIN,882.8532,B3 SH,0.567,1,74.74,3.0832,8.9,12.575,3.3,2
SHRIMPLIN,883.0056,B3 SH,0.533,1,75.06,3.0269,8.8,12.305,3.2,2
SHRIMPLIN,883.1580,B3 SH,0.500,1,76.98,2.9992,8.3,12.350,3.2,2
SHRIMPLIN,883.3104,B3 SH,0.467,1,79.60,2.9580,8.5,12.855,3.2,2
SHRIMPLIN,883.4628,B3 SH,0.433,1,92.95,2.9309,8.6,14.300,3.3,2
SHRIMPLIN,883.6152,B3 SH,0.400,1,94.25,2.9309,9.0,14.210,3.3,2
SHRIMPLIN,883.7676,B3 SH,0.367,1,83.12,2.9309,9.1,13.640,3.3,2
SHRIMPLIN,883.9200,B3 SH,0.333,1,75.02,2.9580,9.2,12.500,3.4,2
SHRIMPLIN,884.0724,B3 SH,0.300,1,62.61,3.0200,8.7,11.920,3.3,2
SHRIMPLIN,884.2248,B3 SH,0.267,1,68.47,3.0690,8.2,11.635,3.3,2
SHRIMPLIN,884.3772,B3 SH,0.233,1,69.58,3.0479,7.3,11.265,3.3,2
SHRIMPLIN,884.5296,B3 SH,0.200,1,76.05,3.0130,7.5,11.375,3.5,2
SHRIMPLIN,884.6820,B3 SH,0.167,1,89.53,2.9580,8.4,12.285,3.5,2
SHRIMPLIN,884.8344,B3 SH,0.133,1,97.25,2.9107,9.1,15.135,3.5,3
SHRIMPLIN,884.9868,B3 SH,0.100,1,95.12,2.9785,8.1,21.930,3.5,3
SHRIMPLIN,885.1392,B3 SH,0.067,1,91.67,3.1696,6.4,26.715,3.3,3
SHRIMPLIN,885.2916,B3 SH,0.033,1,85.15,3.3189,3.7,25.875,3.2,3
SHRIMPLIN,885.4440,B3 LM,1.000,2,65.17,3.4198,2.5,18.920,3.2,8
SHRIMPLIN,885.5964,B3 LM,0.917,2,32.90,3.5237,2.3,12.215,3.7,8
SHRIMPLIN,885.7488,B3 LM,0.833,2,19.92,3.5400,1.9,10.630,4.8,8
SHRIMPLIN,885.9012,B3 LM,0.750,2,14.52,3.5400,2.4,11.060,5.2,8
SHRIMPLIN,886.0536,B3 LM,0.667,2,14.75,3.6141,3.5,12.150,5.4,8
SHRIMPLIN,886.2060,B3 LM,0.583,2,15.01,3.6728,3.9,13.160,5.2,8
SHRIMPLIN,886.3584,B3 LM,0.500,2,15.68,3.6308,3.7,14.020,5.2,8
SHRIMPLIN,886.5108,B3 LM,0.417,2,16.96,3.5481,3.0,14.255,5.3,8
SHRIMPLIN,886.6632,B3 LM,0.333,2,15.78,3.4198,3.1,12.705,5.5,8
SHRIMPLIN,886.8156,B3 LM,0.250,2,15.71,3.2137,3.9,11.095,5.7,8
SHRIMPLIN,886.9680,B3 LM,0.167,2,17.29,3.0479,3.6,10.225,5.7,8
SHRIMPLIN,887.1204,B3 LM,0.083,2,25.40,2.9923,3.5,10.810,5.6,8
SHRIMPLIN,887.2728,B4 SH,1.000,1,54.30,3.0200,5.7,11.865,5.1,2
SHRIMPLIN,887.4252,B4 SH,0.966,1,77.86,3.1117,8.0,11.795,4.0,2
SHRIMPLIN,887.5776,B4 SH,0.931,1,81.08,3.1333,8.6,11.345,3.6,2
SHRIMPLIN,887.7300,B4 SH,0.897,1,64.84,3.0832,6.8,10.600,3.3,2
SHRIMPLIN,887.8824,B4 SH,0.862,1,68.30,2.9923,6.3,10.890,3.5,2
SHRIMPLIN,888.0348,B4 SH,0.828,1,62.20,2.8576,6.0,11.805,3.4,2
SHRIMPLIN,888.1872,B4 SH,0.793,1,62.13,2.7990,6.8,12.205,3.4,2
SHRIMPLIN,888.3396,B4 SH,0.759,1,59.90,2.7990,7.5,12.495,3.4,2
SHRIMPLIN,888.4920,B4 SH,0.724,1,66.76,2.7925,7.6,12.570,3.3,2
SHRIMPLIN,888.6444,B4 SH,0.690,1,68.75,2.7606,8.4,12.535,3.4,2
SHRIMPLIN,888.7968,B4 SH,0.655,1,89.47,2.6977,10.0,13.055,3.3,2
SHRIMPLIN,888.9492,B4 SH,0.621,1,92.28,2.6303,12.3,14.460,3.3,2
SHRIMPLIN,889.1016,B4 SH,0.586,1,89.52,2.5704,13.6,15.780,3.2,2
SHRIMPLIN,889.2540,B4 SH,0.552,1,72.44,2.5177,11.6,15.580,3.3,2
SHRIMPLIN,889.4064,B4 SH,0.517,1,65.12,2.4491,10.4,15.095,3.2,2
SHRIMPLIN,889.5588,B4 SH,0.483,1,61.43,2.3714,7.4,14.620,3.2,2
SHRIMPLIN,889.7112,B4 SH,0.448,1,64.01,2.3014,6.4,15.335,3.0,2
SHRIMPLIN,889.8636,B4 SH,0.414,1,60.03,2.2594,4.5,15.000,3.0,2
SHRIMPLIN,890.0160,B4 SH,0.379,1,66.07,2.2284,4.4,14.440,3.1,2
SHRIMPLIN,890.1684,B4 SH,0.345,1,74.64,2.2080,5.0,13.845,3.2,2
SHRIMPLIN,890.3208,B4 SH,0.310,1,76.08,2.2080,5.9,14.190,3.3,2
SHRIMPLIN,890.4732,B4 SH,0.276,1,77.90,2.2387,6.8,14.375,3.3,2
SHRIMPLIN,890.6256,B4 SH,0.241,1,90.26,2.2594,7.1,14.075,3.2,2
SHRIMPLIN,890.7780,B4 SH,0.207,1,100.24,2.3014,6.9,13.220,3.2,2
SHRIMPLIN,890.9304,B4 SH,0.172,1,104.57,2.3281,8.0,14.630,3.2,2
SHRIMPLIN,891.0828,B4 SH,0.138,1,117.83,2.4099,8.6,18.955,3.4,2
SHRIMPLIN,891.2352,B4 SH,0.103,1,119.71,2.5293,12.2,24.860,3.5,2
SHRIMPLIN,891.3876,B4 SH,0.069,1,114.49,2.7290,13.7,26.240,3.2,2
SHRIMPLIN,891.5400,B4 SH,0.034,1,76.16,2.9717,12.7,21.640,3.1,2
SHRIMPLIN,891.6924,B4 LM,1.000,2,34.50,3.2285,8.2,15.465,3.4,8
SHRIMPLIN,891.8448,B4 LM,0.889,2,17.99,3.5318,3.1,11.830,4.7,8
SHRIMPLIN,891.9972,B4 LM,0.778,2,16.23,3.9537,1.7,9.835,5.9,8
SHRIMPLIN,892.1496,B4 LM,0.667,2,16.97,4.6666,1.3,7.540,5.7,8
SHRIMPLIN,892.3020,B4 LM,0.556,2,18.68,5.5590,2.3,5.930,5.7,8
SHRIMPLIN,892.4544,B4 LM,0.444,2,30.74,5.9979,3.6,5.830,5.8,8
SHRIMPLIN,892.6068,B4 LM,0.333,2,46.76,5.9566,3.6,6.470,5.6,8
SHRIMPLIN,892.7592,B4 LM,0.222,2,49.39,5.3951,3.9,6.690,5.3,6
SHRIMPLIN,892.9116,B4 LM,0.111,2,44.23,4.6666,5.7,7.985,5.0,6
SHRIMPLIN,893.0640,B5 SH,1.000,1,54.96,3.9994,7.3,10.270,4.2,3
SHRIMPLIN,893.2164,B5 SH,0.941,1,68.62,3.5481,9.9,13.345,3.6,3
SHRIMPLIN,893.3688,B5 SH,0.882,1,84.84,3.2137,11.0,14.745,3.1,2
